,Industry Classification Description,Total Budgets Created
1,Construction,99
2,Online Retailer / Online Shop / ecommerce,59
3,Consultant - business & management,59
4,Property managing agent,34
5,Publisher / Publishing / Media Production,28
6,Estate agent / Estate agency / Real estate,24
7,Computer Software Testing,23
8,Restaurant,22
9,Health Services,21
10,Courier,20
11,Property developer,20
12,Fast Food Shop / Take Away Food,20
13,Landlord,17
14,Marketing agency,17
15,Consultant - management & business,17
16,Driving instructor ,16
17,Event organiser / exhibition designer,15
18,Sports Activities,15
19,Public House / pub / bar,14
20,Accommodation,13
21,Builder,13
22,Car mechanic,12
23,Consultant - Computer Software,12
24,Beautician,12
25,Electrician - including portable appliance testing (PAT testing),12
26,Software Development Services,12
27,Arts and Crafts Retail / Shop,12
28,Beauty Shop / Salon,11
29,Property maintenance / handyman,11
30,Cleaner,11
31,Consultant - financial,11
32,Fitness instructor,11
33,Caterer / catering,11
34,Clothing Shop / Fashion Accessories,11
35,IT Contractor,11
36,Consultant - Advertising & Marketing,11
37,Engineer - electrical,10
38,Consultant - education,10
39,Accountant (excluding capital structure and industrial strategy),10
40,Barber shop / Beauty Salon,10
41,Household Cleaning Services,10
42,Garden maintenane,9
43,Administration and secretarial services,9
44,Hairdressing Salon / Hair and Beauty Services,9
45,Education and tutoring,9
46,Business coach,8
47,Hairdresser,8
48,Chauffeur,8
49,Interior designer,8
50,Other Recreational Activities,7
51,Tattooist,7
52,Taxi driver,6
53,Photographic Studio,6
54,Plumbing / plumber / heating and ventilation contractor ,6
55,Graphic designers,6
56,Real estate investments (a company set-up to make real estate investments),6
57,Consultant - Legal,6
58,Engineering activities,6
59,Child minder,6
60,Café or coffee shop (including take away),6
61,Videographer,6
62,Photographer,6
63,Dog walker / Dog Sitter,6
64,Massage,6
65,Recruitment agency / Recruitment consultant,6
66,Consultant - telecommunications,6
67,Retail of Jewellery,6
68,E-commerce,6
69,"Heating, ventilation & plumbing contractor",5
70,Consultant - Automation,5
71,Surveyor,5
72,Consultant - brand & design,5
73,Health & Beauty Shop,5
74,Complementary therapist,5
75,Web Site Designer,5
76,Land Passenger Transport,5
77,Carer,5
78,Recreational Cultural And Sporting Activities,4
79,Coach trips,4
80,Cosmetics Shop,4
81,Consultant - travel,4
82,Landscaping and gardening,4
83,Motor trader,4
84,Coffee Shop / Sandwich Bar,4
85,Crash / body repairs,4
86,Land Freight Transport,4
87,Musician - individual,4
88,Double Glazing & Window Retailer,4
89,Advertising agent,4
90,Performing Arts,4
91,Retail of Furniture & Homeware,4
92,Consultant - engineer,4
93,"Retail of Textiles, Clothes & Footwear",4
94,Consultant - marketing and advertising,4
95,Financial advisor / IFA,4
96,Consultant - environment,4
97,Barrister,4
98,Retail of Used Vehicles,4
99,Teacher / tutor,4
100,Artist Studio,4
101,Legal services,4
102,Consultant - fire proofing / safety,4
103,Nursery schools and playgroups - private (not charities or local authority),3
104,Consultant - design,3
105,Dentist,3
106,Social worker,3
107,Make-up artist,3
108,Driver - private car,3
109,Consultant - food,3
110,Architect / Architectural Activities,3
111,Industrial Cleaning Services,3
112,Business analyst,3
113,Jet washing,3
114,Groundwork,3
115,Project manager,3
116,Corner Shop / Off Licence,3
117,Consultant - energy,3
118,Psychotherapist,3
119,"Manufacturing, Processing & Machining of Food",3
120,"Bathroom, bedroom & kitchen fitter",3
121,Transport And Storage,3
122,Balloons / Party Supplies,3
123,Chef,3
124,Engineer - mechanical,3
125,"Painter (artistic, sculptors or potters)",3
126,Event decorator,3
127,Plumbing / plumber,3
128,Life coach,3
129,Car Valeter,3
130,Consultant - industrial,3
131,Farm Shop (food),3
132,Beauty Products,3
133,Consultant - pharmaceutical,3
134,Bakery / Café,3
135,"Wholesale of Textiles, Clothes & Footwear",3
136,Joiners,3
137,Consultant - security,3
138,Marine Shop,3
139,"Film, TV & Performing Arts Casting",3
140,Painter & decorator,3
141,Pet Shop,3
142,Perfume Shop,3
143,Car Parts / Accessory Shop / Car Body Shop / Car Tyres,3
144,Screen / script writer,3
145,Residents association,3
146,Security guard,3
147,Sports/personal trainer,3
148,Book keeper,3
149,Gymnasia,3
150,Computer Software Developers,3
151,Consultant - training,2
152,Pet grooming / pet parlour,2
153,Driver - van or minibus,2
154,Personal / sports trainer,2
155,Consultant - human resources,2
156,Decorator & painter,2
157,Door to door sales (franchise),2
158,Consultant - building,2
159,Antique Shop,2
160,Printing Shop,2
161,Carpet Shop,2
162,Handyman,2
163,Computer Software Customisation,2
164,Furniture removal,2
165,"Manufacturing, Processing & Machining of Textiles, Clothes & Footwear",2
166,Jewellers / repair shop / jewellery design,2
167,Musician - group,2
168,Gas fitter,2
169,Storage Facilities,2
170,Health Food Shop,2
171,Marquee hirer,2
172,Nail Bar,2
173,Landscape gardening,2
174,Disc jockey,2
175,Solicitor,2
176,Dog Beautician,2
177,Take Away Food,2
178,Counsellor,2
179,Training,2
180,Psychologist,2
181,Consultant - public relations,2
182,Engineer - refrigeration,2
183,Mobile Barber / Hairdressing,2
184,Internet Service Provider,2
185,Roofers,2
186,Fashion design,2
187,Actor,2
188,Engineer - project coordination / project management,2
189,Consultant - waste ,2
190,Nurse,2
191,"Fruits, vegetables, cereals / other crops",2
192,Visual Arts & Design,2
193,Waste disposal (Excluding local authorities),2
194,Lawyer,2
195,Information And Communication,2
196,Childrens entertainer,2
197,Bathroom & kitchen design,2
198,Product design,1
199,Consultant - lifestyle,1
200,General Goods Store,1
201,Consultant - health and safety,1
202,Electrical Repair Shop,1
203,Civil engineering,1
204,"Manufacturing, Processing & Machining of Jewellery",1
205,Breakdown & recovery technician,1
206,Healthcare assistant,1
207,Bed / Bedding Shop,1
208,Blind / curtain makers & fitters,1
209,Direct marketing,1
210,Internet Cafe,1
211,Wholesale of Electronics,1
212,Haulier,1
213,Network & Systems Support,1
214,"Manufacturing, Processing & Machining of Vehicles & Parts",1
215,Kitchen / Bathroom Showroom,1
216,Drain Cleaner,1
217,Caravan & Camp Site Operator,1
218,Cookery Shop / Cooking ingredients,1
219,Consultant - Internet,1
220,Paint sprayers,1
221,Market trader,1
222,Beauty Shop,1
223,Supermarket,1
224,Aromatherapy,1
225,Will writing,1
226,Dry Cleaners,1
227,Fashion shop / Boutique,1
228,Consultant - brewers,1
229,Baker (home baking business),1
230,Auto electrician / car electrician,1
231,Music teacher / publisher,1
232,Mobile food van,1
233,Pet minder / pet sitter,1
234,"Manufacturing, Processing & Machining of Alcoholic Drinks",1
235,Upholstery Shop,1
236,Light metal fabrication,1
237,Delicatessen,1
238,Sports Goods Shop / Sportswear,1
239,Air Passenger Transport,1
240,Coffee Shop / Gift Shop,1
241,Masonry & stone cleaning,1
242,Engineer - structural,1
243,"Engineer - heating, ventilation & air-conditioning design",1
244,Wholesale of Agricultural Materials & Livestock,1
245,Household Repair Shop,1
246,Web marketing,1
247,Vintage Clothes Shop,1
248,Travel Agency,1
249,,1
250,Psychiatrist,1
251,Employment Agency,1
252,"Credit, Renting & Leasing",1
253,Pest & vermin control services,1
254,Agricultural contractors,1
255,Hairpiece & Wig Shop,1
256,Appliance repairers,1
257,Home baking,1
258,Stonemason,1
259,"Manufacture of chemicals, pharmaceuticals, rubber or plastics",1
260,Consultant - market research,1
261,Illustrator,1
262,Hotel,1
263,Photobooth,1
264,Coffee Shop,1
265,Curtain / Blind makers & fitters or sales,1
266,Professional Scientific And Technical Activities,1
267,Chiropodist,1
268,Upholstery & furniture repair,1
269,Tiler,1
270,Air conditioning installation,1
271,Hardware Tools Shop,1
272,Tanning Salon,1
273,Alarm installers,1
274,Domestic cleaner,1
275,Religious organisation,1
276,Catalogue goods distributor,1
277,Wholesale of Food,1
278,Household Shop,1
279,Pet Accessory Shop,1
280,Wholesale of Alcoholic Drinks,1
281,Dance instructor,1
282,Food Shop,1
283,"Manufacturing, Processing & Machining of Furniture & Homeware",1
284,Asset Management,1
285,Mobile Phone Shop,1
286,Retail of Electronics,1
287,Golf Shop / Golf Equipment Shop,1
288,Scaffolding,1
289,Inventory clerk,1
290,Consultant - tax,1
291,Window cleaner,1
292,Medium / psychic,1
293,Plasterer,1
294,Optician,1
295,Museums - private (not charities or local authority),1
296,Pop Up Shop,1
297,Café or Gift Shop,1
298,Office equipment repair,1
299,Tree-felling and surgery,1
300,Consultant - science & research,1
301,Well Being Shop,1
302,Refuse collection & disposal (excluding local authority),1
303,Occupational therapist,1
304,Doctor ,1
305,Children's Clothes Shop,1
306,Locksmith,1
307,Surgeon (consultant),1
308,Retail of Non-Alcoholic Drinks,1
309,"Retail of Paper, Cardboard & Wood Products",1
310,Sandwich Bar / Take Away Food,1
311,Food stall,1
312,Interior Design Shop (including fitting),1
313,Speech therapist,1
314,Builders Merchant,1
