,First Funding Week Cohort,W0,W1,W2,W3,W4,W5,W6,W7,,
,Account Open Date Week,Count of Account ID,Count of Account ID,Count of Account ID,Count of Account ID,Count of Account ID,Count of Account ID,Count of Account ID,Count of Account ID,Count of Account ID,Count of Account ID
1,2026-05-04,1,,,,,,,,9,10
2,2026-04-27,111,1,,,,,,,145,257
3,2026-04-20,84,11,1,,,,,,141,237
4,2026-04-13,97,14,6,,,,,,153,270
5,2026-04-06,107,21,14,9,,,,,199,350
6,2026-03-30,85,12,11,6,7,2,,,162,285
7,2026-03-23,5,1,,,,,,,8,14
8,2026-03-16,2,,,,,,,,2,4
9,2026-03-09,6,,,,1,,1,1,34,43
10,2026-03-02,,,,,,,,,,
11,2026-02-23,,,,,,,,,,
12,2026-02-16,,1,,,,,,,,1
,,498,61,32,15,8,2,1,1,853,1471
