,First Card Issuance Week Cohort,W0,W1,W2,W3,W6,,
,Account Open Date Week,Count of Account ID,Count of Account ID,Count of Account ID,Count of Account ID,Count of Account ID,Count of Account ID,Count of Account ID
1,2026-05-04,,,,,,10,10
2,2026-04-27,10,,,,,247,257
3,2026-04-20,4,1,,,,232,237
4,2026-04-13,8,,1,,,261,270
5,2026-04-06,12,1,1,1,,337,350
6,2026-03-30,11,2,1,1,,271,285
7,2026-03-23,,1,1,,,13,14
8,2026-03-16,3,,1,,,1,4
9,2026-03-09,4,,,1,,38,43
10,2026-03-02,,,,,,,
11,2026-02-23,,,,,,,
12,2026-02-16,1,1,,,1,,1
,,53,6,5,3,1,1410,1471
